item_id_A,name_A,brand_A,size_A,category_A,item_id_B,name_B,brand_B,size_B,category_B,size_bucket,rapidfuzz_wratio,token_jaccard
2113467,"CloroxPro Disinfecting Wipes, Healthcare Cleaning and Industrial Cleaning, Clorox Disinfectant, Bleach Free Cleaning Wipes, Crisp Lemon, 75 Count Pack of 6 - 31404",Clorox,,Household Essentials > Cleaning Supplies > Disinfectant Cleaners,106094,"Clorox Disinfecting Wipes, Citrus Lemon",Clorox,75 ct.,More Departments > Household Essentials > Cleaning Supplies,count:75,85.5,0.2105
2195135,"(2 pack) Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth and Cavity Protection 3.4 Oz, for Adults",Sensodyne,,Personal Care > Oral Care,110237,Sensodyne Sensitivity Gum & Enamel Fluoride Mint Toothpaste,Sensodyne,3.4 ounce,More Departments > Personal Care and Makeup > Oral Care,weight:3.4,85.5,0.2105
2087088,"Synergy The Real Kombucha Gingerberry, 16 fl oz",SYNERGY,,Food > Beverages > Juice & Chilled Beverages,92717,"Synergy Kombucha, Island Bliss",Synergy,16 fl. oz.,"Dairy > Milk, Juice and Refrigerated Beverage > Kombucha & Wellness Shots",volume:16,85.5,0.2
2382248,"Dove Men+Care Mens Deodorant Stick, 72Hour Odor Protection, Limited Edition FIFA Collection, Striker Swag Neutralizes Odor, 3.0 oz",Dove Men+Care,,Personal Care > Bath & Body > All Deodorants,107042,Dove Men+Care Aluminum Free Extra Fresh Deodorant,Dove Men+Care,3 ounce,More Departments > Personal Care and Makeup > Deodorant & Antiperspirant,weight:3,85.5,0.1905
2092590,"Stasher Premium Silicone Reusable Food Storage Container, Pinch Loc Seal, BPA Free, Dishwasher Safe/Leak Free, Multi Color, 3 Pack Bags",Stasher,,Household Essentials > Paper & Plastic > Food Storage Bags,107742,"Stasher Storage Bag, Plastic-Free, Reusable",Stasher,1 each,More Departments > Kitchen and Home > Food Storage & Lunch Kits,count:3,85.5,0.1905
1922309,"Manitoba Harvest Hemp Culinary Oil, 16.9 fl oz, Cold Pressed, 12g of Omegas",Manitoba Harvest,,Food > Pantry > Pantry meal essentials,107771,"Manitoba Harvest Hemp Hearts Hemp Seeds, Shelled",Manitoba Harvest,5 lb.,More Departments > Health and Wellness > SuperFoods,volume:17,85.5,0.1875
1933207,"Gain Rinse and Renew Fabric Softener Rinse, Odor Fighter, Dewdrop Dream, 48 fl oz",Gain,,Household Essentials > Household Essentials by Brand > Gain,109709,Gain Original Scent Fabric Softener Sheets,Gain,240 ct.,More Departments > Household Essentials > Laundry & Laundry Supplies,volume:48,85.5,0.1875
2197734,"Sensible Portions Garden Veggie Valentines Mini Hearts Snack Chips, Sea Salt, 0.5 oz (12 Count)",Sensible Portions,0.5 oz,Food > Candy > Valentine's Candy,101134,Sensible Portions Potato and Vegetable Snack,Sensible Portions,10 ct.,Grocery > Chips & Snack Foods > Multipack & On The Go Snacks,weight:0.5,85.5,0.1765
2127679,"(2 pack) Hershey's Milk Chocolate Christmas Candy, Gift Bar 3 lb",Hershey's,3 lbs,Food > Candy > Chocolate,1084590,"Hershey's Candy, Assortment, Party Mix",Hershey's,48 ounce,More Departments > Bulk Foods > Candy and Gum,weight:48,85.5,0.1667
2121918,St. Ives Softening Body Lotion Coconut and Orchid 21 oz,St. Ives,,Personal Care > Bath & Body > Body Lotions,113604,"St. Ives Exfoliant, Apricot",St. Ives,6 ounce,More Departments > Personal Care and Makeup > Facial Skin Care,weight:21,85.5,0.1667
2384983,Fancy Feast Layered Delights Chicken Mousse with Flaked Salmon,Fancy Feast,1.96 oz,Pets > Cats > Cat Food,99604,Fancy Feast Medleys Gourmet White Meat Chicken Florentine/Turkey Florentine/Tuna Florentine Cat Food,Fancy Feast,36 ounce,Grocery > Pet > Cat,weight:2,85.5,0.1667
2209053,"COVERGIRL Clean Invisible Liquid Foundation, 160 Classic Tan, 1.0 fl oz",COVERGIRL,,Beauty > Makeup > Face Makeup,113378,"CoverGirl Foundation, Natural Ivory L3",CoverGirl,1 fl. oz.,More Departments > Personal Care and Makeup > Makeup & Nail Care,volume:1,85.5,0.1538
2194204,"Charms Valentine Pops, Assorted Valentine Messages 30 ct, 6.35 oz. Peanut Free, Gluten Free. May contain Milk and Soy.",Charms,6.35 oz,Food > Candy > Valentine's Candy,99142,Charms Blow Pop Assorted Bubble Gum Filled Pops,Charms,10.4 ounce,Grocery > Candy > Fruity Confections,weight:6.3,85.5,0.1364
2073959,"Dove Crumbl Limited Edition Body Care Gift Set Strawberry Crumb Cake, 2 Count",Dove,20 fl oz,Personal Care > Bath & Body > Body Wash,107711,Dove Body Wash Sensitive Skin,Dove,20 fl. oz.,More Departments > Personal Care and Makeup > Bath & Body,volume:20,85.5,0.1333
2251093,"(2 pack) KT Health Blister Prevention Strips, Athletic Barrier Tape, Beige, 30 Count",KT Tape,,"Sports & Outdoors > Exercise & Fitness > Sports Recovery, Injury Prevention",106922,KT Tape Black Original Cotton Kinesiology Tape,KT Tape,20 ct.,More Departments > Health and Wellness > First Aid and Thermometers,count:2,85.5,0.125
600066,"Jose Cuervo® Especial® Gold Tequila, 40% ABV, 80 Proof, 1 Count, 750 ml Glass Bottle",Jose Cuervo,750 mL,Food > Alcohol > Spirits,105498,"JOSE CUERVO Mix Margarita, Light",JOSE CUERVO,59.2 fl. oz.,Grocery > Beverages > Cocktail Mixes,volume:25,85.5,0.1176
2131473,"Hint Fruit Infused Bottled Water, Strawberry Lemon - Sugar Free Flavored Water with Zero Calories, Natural Fruit Essences, and No Artificial Sweetners - 16 Fl Oz (Pack of 12)",Hint,16.9 oz,Food > Beverages > Water,97660,"Hint Bottled Water, Cherry",Hint,12 x 16 fl. oz.,Grocery > Beverages > Bottled Water,weight:17,85.5,0.1154
2199842,"(3 pack) Bertolli Balsamic Vinegar, 16.9 oz",Bertolli,,Food > Pantry > International foods,104994,Bertolli Vodka Pasta Sauce,Bertolli,24 ounce,Grocery > Pasta & Pasta Sauce > Pasta Sauce,weight:17,85.5,0.1111
371949,"Parodontax Active Gum Health Mouthwash, Mint - 16.9 Fl Oz (Pack of 2)",Parodontax,,Personal Care > Oral Care > Mouthwash,107490,"Parodontax Complete Protection Gingivitis Toothpaste for Bleeding Gums, Pure Fresh Mint - 3.4 Ounces",Parodontax,3.4 ounce,More Departments > Personal Care and Makeup > Oral Care,volume:17,85.5,0.0952
2118668,"Iberia Brava Spicy Spanish Sauce, 10 fl oz",IBERIA,10 fl oz,Food > Pantry > Pantry meal essentials,97429,"Iberia Black Beans, Premium",Iberia,15.5 ounce,Grocery > International Foods > Latino Foods,volume:10,85.5,0.0909
2084067,CRV ECZ ITCH RELIEF CREAM 16OZ,CeraVe,8OZ,Beauty > Skincare > Dermatologist Recommended Skincare,109807,"CeraVe Moisturizing Cream, Psoriasis, Reduces Scaling",CeraVe,8 ounce,More Departments > Personal Care and Makeup > Hand & Body Lotion,weight:8,85.5,0.0909
2127248,"(2 pack) Copper Compression PRO+ Powerknit Performance Knee Sleeve L/XL: Compression for Stability, Pain Relief, Arthritis & Tendinitis (Unisex, Black, 1 Sleeve)",Copper Compression,,Health and Medicine > Medicine Cabinet > Braces and Supports,951122,"Copper Compression Wrist Brace, Right Hand, S/M",Copper Compression,1 each,More Departments > Health and Wellness > First Aid and Thermometers,count:2,85.5,0.0909
2230843,"Goody Ouchless Elastics, Black Hair Ties, Ponytail Holder, 2mm Hair Elastics, 36 Ct",Goody,,Beauty > Womens Hair Accessories,950148,Goody Girls Bows,Goody,5 each,More Departments > Personal Care and Makeup > Hair Care,count:36,85.5,0.0769
2382576,"McCormick Cinnamon Sugar, 10.5 oz",McCormick,,Food > Baking > Cinnamon,105026,McCormick GRILL MATES 25% Less Sodium Montreal Steak Seasoning,McCormick,10 ounce,Grocery > Pantry > Spices,weight:10,85.5,0.0769
2257944,"Armour Jalapeno Vienna Sausage, 6g Protein Per Serving, 4.6 oz Can",Armour,4.6 oz,Food > Pantry > Canned goods,98975,Armour Sliced Dried Beef Jarred Meat,Armour,4.5 ounce,Grocery > Pantry > Canned Meat & Seafood,weight:4.6,85.5,0.0667
2196015,"(3 pack) Libby's Cut Beets, 15 oz",Libby's,15 oz,Food > Pantry > Pantry meal essentials,101539,Libby's Seriously Cherry! Extra Cherry Mixed Fruit in Naturally Flavored Fruit Juice,Libby's,15 ounce,Grocery > Pantry > Canned Fruit & Fruit Pouches,weight:15,85.5,0.0667
2120257,"Nongshim Noodle Salad Gochujang Ramyun Noodle Soup, 4.7 Ounces, See Item for Allergens",Nongshim,,Food > Pantry > Pasta & pizza,101688,"Nongshim Bowl Noodles, Spicy Kimchi Flavor",Nongshim,3.03 ounce,Grocery > International Foods > Asian,weight:4.7,85.5,0.0625
2226177,"Sharpie Permanent Markers, Water- and Fade-Resistant, Extra Fine Point (0.4mm), Black, 5 Count",Sharpie,,Office Supplies > Markers and Highlighters > Markers,948572,"Sharpie Highlighter, Narrow Chisel",Sharpie,4 each,More Departments > Household Essentials > School and Office Supplies,count:5,85.5,0.0625
1920614,"Starburst, Life Savers & Hubba Bubba Halloween Candy Variety Pack - 190 Ct Bulk Bag",Mars,,Food > Candy > Halloween Candy,1087341,"Mars Candy, Assorted",Mars,49.7 ounce,Grocery > Candy > Seasonal & Holiday Candy,count:190,85.5,0.0625
2230963,"Crayola Limited Edition Colors Colored Pencils, 8 Ct,  School Supplies, Classroom Essentials for Teachers, Gifts for Kids Ages 5+",Crayola,,Office Supplies > School Supplies > Shop All School Supplies,1883987,Crayola Bath Bombs,Crayola,8 ct.,More Departments > Personal Care and Makeup > Bath & Body,count:8,85.5,0.0556
2060481,"Temptations Tasty Chicken Flavor Crunchy & Soft Cat Treats, 30 oz Tub",TEMPTATIONS,,Pets > Cats > Cat Treats,101757,Temptations Tasty Chicken Flavor Treats for Cats,Temptations,30 ounce,Grocery > Pet > Cat,weight:30,85.17241379310344,0.3571
2062271,"(3 pack) Palmer's Coconut Oil Formula Body Lotion for Dry Skin, 8.5 fl. oz.",Palmer's,8.5 fl oz,Personal Care > Bath & Body > Palmer's Lotions,111252,"Palmer's Coconut Oil Formula Body Lotion, Daily, Coconut Hydrate",Palmer's,8.5 fl. oz.,More Departments > Personal Care and Makeup > Hand & Body Lotion,volume:8.5,80.85106382978722,0.4286
2196235,"(3 pack) KC Masterpiece Original Barbecue Sauce, 18 fl oz Bottle",KC Masterpiece,18 Ounce,Food > Pantry > Pantry meal essentials,104344,"KC Masterpiece Barbecue Sauce, Original, Kettle Cooked",KC Masterpiece,28 ounce,Grocery > Salad Dressing & Condiments > BBQ Sauces,weight:18,80.22222222222221,0.4167
2055149,"Breakstone's All Natural Salted Butter, 16 oz",Breakstone's,,"Food > Baking > Butter, Oils, & Shortening",956841,"Breakstone's Sour Cream, All Natural",Breakstone's,16 ounce,Dairy > Refrigerated Dips and Sour Cream > Sour Cream,weight:16,77.28813559322033,0.3333
2272503,"Utz Butter Sticks Pretzels, 14 oz Bag",Utz,,"Food > Snacks, Cookies & Chips > Pretzels",1091811,"Utz Pretzels, Pumpernickel, Sticks",Utz,14 ounce,Grocery > Chips & Snack Foods > Pretzels,weight:14,70.7843137254902,0.375
2113138,"KIT KAT Dark Chocolate Wafer Bar, King Size, 3 oz",KITKAT,3 oz,Food > Candy > Chocolate,952548,"KitKat Crisp Wafers in Milk Chocolate, King Size",KitKat,3 ounce,Grocery > Candy > Single Serve,weight:3,68.72340425531914,0.2143
2380558,Eucerin Original Lotion 16 Oz.,Eucerin,,Personal Care > Bath & Body > Eucerin,114898,"Eucerin Healing Cream, Original",Eucerin,16 ounce,More Departments > Personal Care and Makeup > Hand & Body Lotion,weight:16,67.62711864406779,0.2857
2087022,"Smirnoff Ice Grape, 6 pack, 11.2 fl oz Bottles, 4.5% ABV",Smirnoff Ice,,Food > Alcohol,1083703,Smirnoff Ice Orange Cream Malt Beverage 6pk/11.2oz Bottles,Smirnoff Ice,67.2 fl. oz.,"Wine, Beer & Spirits > Beer Shop > Flavored Malt Beverages",volume:11,65.45454545454545,0.2667
2053313,"Kit Kat Milk Chocolate Wafer Snack Size Christmas Candy, Bag 32 oz",KITKAT,32 oz,Food > Candy > Chocolate,952548,"KitKat Crisp Wafers in Milk Chocolate, King Size",KitKat,3 ounce,Grocery > Candy > Single Serve,weight:32,62.76785714285714,0.1765
2104908,"Nutro Natural Choice Cuts In Gravy 4 Flavors Variety Pack Wet Dog Food, 3.5 oz Tray Pack of 24",NUTRO,3.5 oz,Pets > Dogs > Dog Food by Life Stage,98783,"Nutro Natural Choice Dog Food, Lamb & Brown Rice, Adult 1+ Years",Nutro,12 lb.,Grocery > Pet > Dog,weight:3.5,59.89130434782608,0.2273
1910937,LOUISIANA FISH FRY CAJUN-10 OZ -Pack of 12,Louisiana,,"Food > Pantry > Herbs, spices & seasoning mixes",104417,"Louisiana Seafood Breading Mix, New Orleans Style, Fish Fry",Louisiana,10 ounce,Grocery > Pantry > Bread Crumbs,weight:10,57.96610169491525,0.2
362830,Nioxin System 4 Scalp And Hair Treatment 6.76oz/200ml,Nioxin,,Premium Beauty > Premium Hair Care & Hair Tools > Premium Hair & Scalp Treatments,949912,"Nioxin Scalp Therapy Conditioner, Fine Hair 4",Nioxin,10.1 fl. oz.,More Departments > Personal Care and Makeup > Hair Care,volume:6.8,57.3015873015873,0.2727
2214869,"Dove Bar Soap Coconut & Lime for Hydrated & Soft Skin, 3.75 oz 4 Bars",Dove,,Personal Care > Bath & Body > Dove Bar Soaps,107312,Dove Advanced Care Lavender Fresh Antiperspirant Deodorant Spray,Dove,3.8 ounce,More Departments > Personal Care and Makeup > Deodorant & Antiperspirant,weight:3.8,44.705882352941174,0.05
